taxon,lfc,se,t_stat,p_ols,p_val,wilcoxon_p,auroc,gfc,n_ctrl,n_crc,q_val,significant,direction
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens,1.3394,0.5238,2.5571,0.01077993709721468,0.271,0.271,0.5240871743856158,0.6008,327,332,0.436611,False,enriched_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,-0.0164,0.6111,-0.0269,0.9785477564763603,0.285,0.285,0.4776997899856306,-0.0037,327,332,0.450818,False,depleted_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,1.0113,0.5505,1.837,0.06666424724791467,0.294,0.294,0.5221896761357356,2.0006,327,332,0.45675,False,enriched_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,-0.3454,0.599,-0.5767,0.5643288336497034,0.315,0.315,0.47711027596625033,-0.1248,327,332,0.480789,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Eubacterium_biforme,0.8764,0.7047,1.2436,0.2140854935411667,0.341,0.341,0.5207987914962603,0.543,327,332,0.5115,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified,-0.1486,0.5953,-0.2497,0.8029316822335206,0.375,0.375,0.4803710253859474,-0.059,327,332,0.552966,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3,0.8762,0.5971,1.4675,0.1427226606371286,0.385,0.385,0.5197671419623446,0.4472,327,332,0.55825,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,0.1159,0.2082,0.5567,0.5779188314097754,0.423,0.423,0.5166629822040456,0.6655,327,332,0.603295,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,-0.2274,0.6718,-0.3384,0.7351353108963177,0.434,0.434,0.482102722817877,1.1296,327,332,0.609,False,depleted_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,0.8639,0.6002,1.4394,0.15052386280692887,0.463,0.463,0.5158616115839505,1.7239,327,332,0.639381,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,0.08,0.626,0.1278,0.8983438212570143,0.569,0.569,0.4870767473563981,0.1215,327,332,0.773484,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,0.3164,0.5254,0.6022,0.5472824499261509,0.639,0.639,0.5105744077226337,0.4694,327,332,0.855277,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.4585,0.6845,0.6698,0.5032435635504129,0.667,0.667,0.5102151726170738,0.3776,327,332,0.861174,False,enriched_CRC
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified,0.3596,0.699,0.5144,0.6071300274242148,0.676,0.676,0.5093216904314506,0.5676,327,332,0.861174,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,0.5409,0.5676,0.9531,0.3409055620425182,0.663,0.663,0.5103441288088133,0.5623,327,332,0.861174,False,enriched_CRC
